Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	32987	6	286565	0.00018185675749401387
red	1	38114	7	146744	0.0001836258230371711
red	2	145157	31	1001580	0.00021351626856214013
red	3	33017	7	201238	0.0002119670542635659
red	4	79754	12	558275	0.00015044003710854248
red	5	48629	10	271708	0.00020559633216143424
red	6	101424	15	483315	0.0001478721201904593
red	7	16115	5	184950	0.00031017369727047146
red	8	19884	1	174096	5.028916268544129e-05
green	0	17463	3	104251	0.00017176228100309173
green	1	18031	2	136644	0.00011090778018077968
green	2	11253	6	89198	0.0005329070077271516
green	3	12669	4	121568	0.00031563165785528286
green	4	7680	2	86918	0.0002603488674824265
green	5	17694	5	140533	0.00028250183626193573
green	6	70302	14	689591	0.0001991012002958075
