Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	75061	10	439407	0.0001332072304884709	313	58.8895941353309	9.420597029679012
red	2	47683	8	431092	0.0001677465349856367	227	44.95860898356532	8.955540956277101
red	3	62971	9	456074	0.0001429025087329311	328	58.0730450107	7.991566643333331
red	4	49094	7	272647	0.00014256328791674303	176	31.80321470209008	10.013382445567085
red	5	58843	9	415547	0.00015292598382382928	300	35.77766411249101	12.819568184285721
green	1	20703	1	249162	4.829984544049459e-05	112	23.02033230819991	7.499099565787784
green	2	14933	6	161958	0.00040163330878907556	78	15.79622592663153	6.394592857208509
green	3	11149	2	144265	0.0001793561115595014	58	12.988851652865621	5.739765252485775
green	4	32730	4	382707	0.00012219710392863688	172	31.46836085057384	11.823207524741163
green	5	30099	3	317740	9.966115208291808e-05	145	28.87511530188033	6.866755409828388
green	6	54493	14	155316	0.0002568477443264168	145	29.6896993692229	6.571801623090215
green	7	24768	3	136526	0.00012110936175366356	102	14.859351987599513	10.660723397982512
green	8	128711	18	841627	0.00013982863224292895	687	141.22509660451837	7.603124138573679
green	9	24401	2	147049	8.195713641765357e-05	144	27.328440684376105	8.397558221383443
green	10	33573	5	135417	0.00014890702245517898	126	24.97515774950571	6.89383362863676
green	11	19149	2	165074	0.00010443318886742206	148	30.15565899679526	6.860820233908133
green	12	23674	1	186126	4.2238648363252374e-05	165	31.893230109305208	9.272841151472184
green	13	30451	9	150377	0.0002954694681549573	142	29.973664421745042	6.407351132249682
green	14	96495	8	665376	8.289897723386838e-05	547	90.27739248395535	14.214438628381709
green	15	10037	2	108150	0.00019922303018228907	89	18.5322151450298	6.211400299080464
green	16	40223	9	286376	0.00022370252535295287	192	41.06105509666746	7.6293075838866375
green	17	108991	24	412292	0.00022015318992799155	381	45.624027455988994	17.24922069682953
green	18	15803	0	105916	0.0	105	21.660576672214567	6.241722580089304
green	19	10243	1	67635	9.761811792268645e-05	67	13.141808444134798	6.691590881668202
green	20	7372	4	72518	0.0005422993492407809	62	13.00482390641707	6.142468084094834
green	21	16791	0	143245	0.0	108	21.963237846985812	6.6438083027506565
green	22	92756	16	418594	0.00017246583020739015	333	66.14740494960724	8.793023058561264
green	23	59585	10	226628	0.00016779931202282072	226	45.55698315936882	8.165063579295326
green	24	32584	0	150992	0.0	172	37.19409076716732	6.552351172846838
