Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	110902	4754	1148330	0.04110465518433977	2037	74.73375321115168	36.695969602225745
red	2	56788	2681	350388	0.04508231179269872	645	67.33967916603432	12.874634420522405
red	3	80502	3861	501815	0.04576650901461541	1011	111.83853716743366	14.227044380084443
red	4	66933	2866	449545	0.04106076018281064	902	93.57634675743074	12.935893398022642
red	5	52135	2345	471981	0.04304331864904552	975	90.83826644228093	16.18861885802519
red	1	80610	3127	1634889	0.037343109975279745	2037	74.73375321115168	36.695969602225745
red	2	34242	1549	413735	0.04327903662932022	645	67.33967916603432	12.874634420522405
red	3	46496	1958	584667	0.040409460519255376	1011	111.83853716743366	14.227044380084443
red	4	46413	1818	518193	0.03769359955215525	902	93.57634675743074	12.935893398022642
red	5	37744	1484	573225	0.03783012134189864	975	90.83826644228093	16.18861885802519
