Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	1066	54	24917	0.048214285714285716	78	24.33451119798091	4.439957382686857
red	2	3894	209	44720	0.05093833780160858	108	34.51852872112875	4.43494146441719
red	3	1121	49	30885	0.04188034188034188	95	29.718005839242817	5.40009401448923
red	4	1357	72	21883	0.05038488453463961	63	18.95292781665664	4.3918006462138015
red	5	597	32	16580	0.05087440381558029	54	18.421711616768796	4.082643255399041
red	6	1874	115	22769	0.057817998994469585	68	23.17367046289416	3.889702585612727
red	7	2011	105	35923	0.04962192816635161	101	31.28557056299754	4.451555765853859
red	8	5884	353	57158	0.05659772326438993	131	42.443291684956925	5.722442758369209
red	9	2041	94	17834	0.04402810304449649	42	16.1245154965971	3.265986323710904
red	10	3737	262	53910	0.06551637909477369	126	41.813494013087926	6.319738968470496
red	11	2577	105	27811	0.039149888143176735	69	20.78681258287767	5.5904470422911
red	12	2143	109	34274	0.04840142095914742	80	27.98519365551963	4.3941934485254315
red	13	3472	223	46301	0.06035182679296346	109	34.56657100137797	6.257801610680223
red	14	2264	93	31263	0.03945693678404752	77	23.413607874259437	4.371278621222626
red	15	3893	264	51441	0.06350733702189079	136	37.69772082512039	10.868608663479678
red	16	2214	109	24938	0.046922083512699095	61	16.21588094553975	5.562022537342141
red	17	5080	313	51858	0.05803819766363805	113	34.836717031780026	5.065517777794847
red	18	2012	143	22419	0.06635730858468677	51	15.183318922338362	4.438100728355993
red	1	3505	248	41259	0.0660804689581668	78	24.33451119798091	4.439957382686857
red	2	7110	346	70895	0.04640557939914163	108	34.51852872112875	4.43494146441719
red	3	6017	305	61111	0.04824422651059791	95	29.718005839242817	5.40009401448923
red	4	3334	170	34277	0.048515981735159815	63	18.95292781665664	4.3918006462138015
red	5	2048	148	25825	0.06739526411657559	54	18.421711616768796	4.082643255399041
red	6	4010	254	40075	0.05956848030018762	68	23.17367046289416	3.889702585612727
red	7	5182	335	55983	0.060721406561537065	101	31.28557056299754	4.451555765853859
red	8	10173	488	92789	0.045774317606228306	131	42.443291684956925	5.722442758369209
red	9	3613	164	28520	0.04342070426264231	42	16.1245154965971	3.265986323710904
red	10	7206	594	92571	0.07615384615384616	126	41.813494013087926	6.319738968470496
red	11	6056	241	48811	0.038272193107829124	69	20.78681258287767	5.5904470422911
red	12	3416	228	48583	0.06256860592755215	80	27.98519365551963	4.3941934485254315
red	13	6214	466	73446	0.06976047904191617	109	34.56657100137797	6.257801610680223
red	14	4958	190	51163	0.036907536907536904	77	23.413607874259437	4.371278621222626
red	15	6601	488	69468	0.06883904640993088	136	37.69772082512039	10.868608663479678
red	16	3480	188	35008	0.05125408942202835	61	16.21588094553975	5.562022537342141
red	17	7435	373	75936	0.047771516393442626	113	34.836717031780026	5.065517777794847
red	18	2710	191	31039	0.06583936573595311	51	15.183318922338362	4.438100728355993
