Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	33177	2594	122069	0.07251684325291437
red	1	38664	3080	124085	0.0737830586431583
red	2	41436	3401	136478	0.07585253250663515
red	3	67433	3714	193958	0.05220177941445177
red	4	41746	2915	143730	0.06526947448556907
red	5	37538	2386	129845	0.0597635507464182
red	6	34250	2604	113797	0.0706571878222174
red	7	28394	1529	103306	0.05109781773217926
red	8	42947	2793	166940	0.06106252732837779
red	9	33650	2691	161539	0.07404859525054347
red	10	23301	1139	106890	0.04660392798690671
red	11	57597	3752	212396	0.0611582910886893
red	12	29037	1980	92459	0.06383596092465423
red	13	45071	2707	221586	0.056657876009879024
green	0	15205	1446	44149	0.08684163113326528
green	1	11459	1031	26479	0.08254603682946357
green	2	67624	5676	296289	0.07743519781718963
green	3	9434	836	22143	0.08140214216163583
green	4	43008	4189	94766	0.08875564124838443
green	5	18904	1425	87383	0.07009690589797826
green	6	19860	1740	63696	0.08055555555555556
green	7	6548	592	33668	0.08291316526610644
green	8	7965	529	47883	0.0622792559453732
green	9	8038	664	47083	0.07630429786256034
green	10	11760	1018	49643	0.07966817968383158
green	11	39546	2841	190621	0.0670252671809753
green	12	10981	939	47122	0.0787751677852349
green	13	3869	311	15319	0.07440191387559808
green	14	70346	4709	321613	0.06274065685164212
green	15	22001	1671	102691	0.07058972625887124
green	16	20003	1496	87553	0.06958463184334156
green	17	15088	1184	68932	0.0727630285152409
green	18	17137	1284	85645	0.06970305629444655
green	19	14433	1089	71129	0.07015848473134906
green	20	16680	1237	65328	0.06904057598928393
green	21	17299	1134	76535	0.061520099820973256
green	22	13057	757	58232	0.054799478789633704
green	23	25767	2097	90516	0.07525839793281654
green	24	31601	2657	104541	0.07755852647556775
green	25	17625	1268	89763	0.06711480442491928
green	26	21341	1576	127346	0.06876990880132652
green	27	26268	2278	112530	0.07980102291039025
green	28	12818	963	73702	0.06987881866337711
green	29	30837	2159	147290	0.0654321735967996
green	30	34747	2830	159057	0.07531202597333475
green	31	34584	2632	146800	0.07072226999140155
green	32	18620	1433	93512	0.07146062933226949
green	33	16956	1148	68744	0.06341140079540433
green	34	20081	1432	102930	0.06656440291916516
green	35	53232	2086	196262	0.03770924473046748
green	36	29952	2254	161025	0.06998695895174813
green	37	43934	3113	171137	0.06616787467851297
green	38	38877	2765	157528	0.06639930839056722
green	39	14971	1235	77451	0.076206343329631
green	40	3430	256	14620	0.0694519804666305
green	41	19843	1404	94078	0.06607991716477621
green	42	19756	1691	85914	0.07884552618081783
green	43	13534	1134	55737	0.07731115353149713
green	44	8135	637	39926	0.07261741906064752
green	45	12724	1025	63646	0.07455087642737654
