Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	17799	1838	208187	0.09359881855680603
red	1	35913	3679	282881	0.09292281268943221
red	2	32585	3252	399988	0.0907442029187711
red	3	29802	2790	289613	0.08560382916053019
red	4	79073	10063	652963	0.11289490217196195
red	5	16299	1668	179506	0.09283686759058274
red	6	54123	6597	434376	0.10864624505928853
red	7	15483	1490	205434	0.08778648441642609
red	8	9620	1136	61591	0.10561547043510598
red	9	14940	1759	255547	0.10533564884124798
red	10	17197	1956	173732	0.10212499347360726
red	11	7482	823	146006	0.09909692956050573
red	12	5969	631	92604	0.09560606060606061
red	13	2448	233	89098	0.08690787019768743
red	14	4216	446	109639	0.09566709566709566
green	0	351892	36762	4844672	0.09458798828778296
