Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	27870	4551	194907	0.14037198112334598
red	1	62914	12368	343604	0.1642889402513217
red	2	27005	4302	196409	0.13741335803494426
red	3	68338	13989	372814	0.16991995335673593
red	4	48980	8952	217472	0.15452599599530484
red	5	51184	8951	225098	0.14884842437848175
red	6	58379	10784	325403	0.15592151873111346
red	7	47704	7463	226046	0.1352801493646564
red	8	117876	22529	400263	0.1604572486734803
red	9	24211	4492	186251	0.15649932062850574
red	10	34245	5865	193989	0.1462228870605834
red	11	61510	10308	300678	0.1435294772898159
red	12	45225	6854	353224	0.13160774976478043
red	13	91951	17493	393008	0.15983516684331714
red	14	23991	2253	175679	0.08584819387288523
red	15	13688	1661	129005	0.10821551892631442
