Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	48953	7762	194039	0.13685973728290576	208	33.94624436377269	8.319088130488913
red	2	23773	3791	107079	0.13753446524452184	143	25.49866987666333	8.239391299257779
red	3	21951	3308	169207	0.13096322103012786	177	29.22507601116874	11.016036944790141
red	4	46147	5171	244231	0.1007638645309638	267	38.360552882052694	9.22825922297931
red	5	48266	6555	243096	0.11957096733003776	306	29.610369642453797	13.818745845797794
red	6	41935	5853	136485	0.12247844647191763	176	30.665407805552675	7.458148773483507
red	7	22920	2753	114181	0.10723328009971565	153	27.22372967008957	7.59702563925509
red	8	41685	7136	266148	0.14616660863153152	289	45.34803939306956	15.749261108278677
red	9	41634	5190	254294	0.11084059456688877	276	29.061004800212345	12.514008432927303
red	10	31816	3018	106487	0.0866394901532985	131	26.278190057388894	6.66133174062991
red	11	30839	4287	148460	0.12204634743494847	187	33.41174537129178	8.090054031837044
red	12	32379	3011	232242	0.08508053122350946	258	44.31123567669423	7.856641772554775
red	13	56180	7188	270643	0.11343264739300593	321	45.1853680743064	9.98271441957654
red	14	35737	3514	158732	0.08952638149346513	183	37.7185200135513	6.487559471569516
green	1	32394	5363	261450	0.1420398866435363	320	32.60214698664363	29.236361873723
green	2	10147	1698	77256	0.14335162515829464	90	18.259173213248488	6.598550232704703
green	3	11956	2028	100698	0.1450228832951945	131	23.625234294798698	7.268036520449234
green	4	12011	2185	93708	0.15391659622428852	120	21.189738707662357	7.371301419159761
green	5	21799	3355	144745	0.13337838912300232	194	36.945764605978646	10.24900724378747
green	6	14173	2238	67991	0.1363719456462129	84	18.258171640264287	6.038965170245479
green	7	28525	5334	146055	0.1575356626007856	195	35.055469447850875	7.343009931978996
green	8	16091	2622	104403	0.1401164965531983	134	27.157156309502312	6.805258175686834
green	9	15650	2367	107285	0.13137592273963478	141	26.818890065093246	7.748128127592069
green	10	34345	3282	163094	0.08722459935684482	175	30.161760531066708	8.913303381843939
green	11	31093	4837	162894	0.1346228778179794	196	37.63724452311059	7.28320476768341
green	12	56934	6674	263798	0.10492390894227141	299	47.864621971655254	10.42211032457892
