Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	28972	3	234708	0.00010353753235547887
red	1	6590	2	98919	0.00030339805825242716
red	2	25737	5	272005	0.00019423510216766375
red	3	6726	0	120770	0.0
red	4	74313	9	248672	0.0001210946960523129
red	5	38547	5	221334	0.00012969495746005394
red	6	28275	4	173218	0.00014144771738746066
red	7	14162	2	166647	0.0001412030499858797
red	8	20245	1	121063	4.9392472587177715e-05
red	9	12007	1	98708	8.327781479013991e-05
red	10	58307	8	297223	0.00013718597273428793
red	11	79119	14	313391	0.00017691734169057158
red	12	9373	1	113773	0.00010667804565820355
red	13	25044	2	170117	7.985307035055498e-05
green	0	119654	18	527355	0.00015041112373821779
green	1	26034	4	167409	0.00015362162992549352
green	2	7508	3	76198	0.0003994141925176408
green	3	11019	2	99806	0.00018147173577715272
green	4	24063	6	107179	0.0002492833104823632
