Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	2340	137	24593	0.055308841340331046
red	1	8773	612	111155	0.065210442194992
red	2	3665	189	55175	0.04903995848469123
red	3	6468	402	94144	0.05851528384279476
red	4	2613	174	39576	0.062432723358449946
red	5	2790	119	31435	0.04090752836026126
red	6	9148	617	90577	0.06318484383000512
red	7	2566	148	28412	0.054532056005895356
red	8	5575	392	67670	0.06569465392994804
red	9	5917	461	87759	0.07227971150830982
red	10	6266	499	79548	0.0737620103473762
red	11	4101	228	53630	0.05266805266805267
red	12	9390	461	89490	0.046797279464013804
red	13	4362	240	40056	0.05215123859191656
red	14	9537	642	89937	0.06307102858826996
red	15	11111	601	100979	0.05131489071038251
red	16	5837	245	50797	0.04028280170996383
red	17	3291	256	46787	0.07217366788835636
red	18	4761	329	68540	0.06463654223968565
red	19	3649	229	43681	0.0590510572460031
red	20	6684	439	77530	0.06163133511161028
red	21	10515	660	108625	0.05906040268456376
red	22	5734	336	85946	0.055354200988467876
red	23	6018	439	64737	0.06798822982809354
red	24	6791	443	75956	0.06123859552115012
red	25	9239	515	111741	0.05279885175312692
red	26	3483	165	39030	0.04523026315789474
red	27	3218	287	46340	0.0818830242510699
red	28	7209	332	74718	0.04402599124784511
red	29	4061	309	55429	0.07070938215102975
red	30	4968	256	88476	0.04900459418070444
red	31	5837	455	79221	0.07231404958677685
red	32	6655	420	54010	0.059363957597173146
red	33	8085	574	85456	0.06628940986257073
red	34	3812	356	52628	0.0854126679462572
red	35	4812	262	52368	0.05163579030350808
red	36	7068	421	70240	0.05621578314861797
red	37	2693	167	29012	0.05839160839160839
red	38	3234	124	35303	0.03692674210839786
red	39	5583	373	85952	0.06262592343854936
red	40	12539	602	120614	0.04581082109428506
red	41	2581	232	42154	0.08247422680412371
red	42	3001	204	46774	0.06365054602184088
red	43	3289	169	33512	0.04887218045112782
red	44	4748	238	44936	0.04773365423184918
red	45	3415	211	37522	0.058190843905129616
red	46	2567	231	34618	0.0825589706933524
red	47	1766	106	19472	0.056623931623931624
red	48	4862	391	49352	0.0744336569579288
red	49	8963	549	95470	0.057716568544995794
red	50	4517	415	72099	0.08414436334144364
red	51	2527	233	34397	0.08442028985507247
red	52	3484	170	48774	0.046524356869184456
red	53	2611	167	35119	0.06011519078473722
red	54	3000	228	39914	0.07063197026022305
green	0	66271	6394	1074817	0.08799284387256588
green	1	33474	2162	402842	0.06066898641822876
green	2	30713	2861	496025	0.08521474950854828
green	3	39159	2143	365998	0.05188610721030459
green	4	24681	1836	256439	0.06923860165177056
