Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	57514	5359	120333	0.08523531563628267
red	1	33452	2559	185309	0.07106162006053705
red	2	27179	2434	103212	0.08219363117549724
red	3	48878	4328	175678	0.08134420929970304
red	4	30397	2509	161612	0.07624749285844527
red	5	28123	2075	102507	0.06871315981190808
green	0	151199	14934	1013072	0.08989183365135163
green	1	10754	1074	81617	0.0908014879945891
green	2	15617	1593	95256	0.09256246368390471
green	3	59982	5516	371645	0.08421631194845644
green	4	9335	954	63583	0.09272038098940616
green	5	9000	848	52982	0.08610885458976442
green	6	7367	680	52874	0.08450354169255624
green	7	16958	1693	99599	0.09077261272854002
green	8	8752	888	64225	0.09211618257261411
green	9	40107	3873	105185	0.08806275579809004
green	10	32199	3583	94148	0.10013414565982896
green	11	32009	3241	88991	0.09194326241134752
green	12	46757	4883	126794	0.09455848179705655
green	13	44559	4268	85033	0.08741065394146681
green	14	21051	2143	60720	0.09239458480641545
green	15	34962	3802	73531	0.09808069342689094
green	16	25123	2106	102560	0.0773440082265232
green	17	16144	1347	79169	0.07701103424618375
green	18	6459	536	32307	0.07662616154395997
green	19	12706	1017	59625	0.07410915980470742
green	20	9037	769	43835	0.07842137466857026
green	21	5646	485	24212	0.07910618169955962
green	22	9411	751	40901	0.07390277504428262
green	23	11951	937	55568	0.07270328988206083
green	24	65078	5319	289965	0.07555719703964657
green	25	11171	876	50855	0.07271519880468166
green	26	22299	1700	105643	0.07083628484520188
green	27	33186	2786	150638	0.07744912709885467
green	28	11661	842	57698	0.06734383747900503
green	29	7469	590	45857	0.07321007569177317
green	30	7985	265	34764	0.03212121212121212
green	31	52376	3009	175449	0.05432878938340706
green	32	13253	697	60643	0.04996415770609319
green	33	38051	1752	171972	0.044016782654573774
green	34	23825	1460	86079	0.05774174411706545
green	35	26264	1549	109784	0.05569338079315428
green	36	7701	444	35349	0.05451197053406998
green	37	10145	624	52231	0.05794409880211719
green	38	16291	1165	70745	0.06673923006416133
green	39	8349	554	49754	0.06222621588228687
green	40	12182	834	64195	0.06407498463429626
green	41	20309	1458	87466	0.06698212891073643
green	42	25913	2027	83226	0.07254831782390837
green	43	20609	1051	103026	0.048522622345337024
green	44	19604	1221	119665	0.05863145258103241
green	45	9225	628	49970	0.06373693291383335
green	46	16329	1061	96133	0.06101207590569293
green	47	14595	1032	76897	0.06603954693799194
green	48	10924	715	50070	0.06143139444969499
green	49	22916	1283	109020	0.053018719781809165
green	50	72919	4647	305992	0.05991026996364386
green	51	10562	720	54165	0.06381847190214501
green	52	36672	3109	147701	0.07815288705663508
green	53	12430	804	60654	0.060752606921565665
green	54	16825	1131	87060	0.06298730229449766
green	55	42258	2434	180079	0.05446164861720219
green	56	12493	917	60155	0.06838180462341537
green	57	12189	567	60546	0.04444967074317968
green	58	122382	8465	487437	0.0646938791107171
green	59	24136	1437	125960	0.05619207758182458
green	60	6440	438	33294	0.0636813027042745
green	61	9196	558	48301	0.05720729956940742
green	62	20823	1405	86574	0.06320856577289904
green	63	96033	6881	427839	0.06686165147598966
green	64	16545	1212	71159	0.06825477276566988
green	65	13573	862	68305	0.05971596813301004
green	66	5611	441	29659	0.07286847323198943
green	67	10281	769	48344	0.06959276018099547
green	68	9716	657	53522	0.06333751084546418
green	69	8811	593	44104	0.06305827307528711
