Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	5096	571	49207	0.1007587788953591
red	1	14400	1578	72288	0.09876079609463012
red	2	7532	760	63224	0.09165460684997588
red	3	8529	747	88004	0.08053040103492885
red	4	7655	774	70032	0.09182583936410013
red	5	2805	331	32064	0.1055484693877551
red	6	2812	250	25254	0.08164598301763554
red	7	1685	157	18916	0.08523344191096634
red	8	4422	444	41726	0.09124537607891492
red	9	3111	303	24398	0.08875219683655536
red	10	4832	435	38884	0.0825897095120562
red	11	14121	1211	62227	0.07898512914166449
red	12	1883	159	14396	0.07786483839373164
red	13	7149	550	92486	0.07143784907130796
red	14	3965	461	29657	0.10415725259828287
red	15	4455	399	33618	0.08220024721878863
red	16	4352	359	36518	0.07620462746762896
red	17	4654	487	33575	0.094728652013227
red	18	6992	582	50793	0.07684182730393452
red	19	8127	895	49439	0.0992019507869652
red	20	6146	500	58312	0.07523322299127294
red	21	2979	305	39257	0.09287454323995128
red	22	6139	647	35102	0.09534335396404361
red	23	5881	605	36603	0.09327782917052112
red	24	4032	361	35638	0.08217618939221488
red	25	1470	164	21835	0.1003671970624235
