Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	60385	9442	439108	0.13521990061151132
red	1	42757	7015	286683	0.14094269870609982
red	2	96658	17462	581688	0.15301437083771469
red	3	170288	31297	980914	0.1552546072376417
red	4	100527	20426	616956	0.16887551362926095
red	5	99927	16580	696426	0.14230904580840636
red	6	29477	5473	238228	0.15659513590844062
red	7	56376	9817	302905	0.14830873355188615
green	0	18520	3710	131486	0.16689158794421952
green	1	68567	14513	441282	0.1746870486278286
green	2	31109	6685	220428	0.17687992803090438
green	3	23474	4828	159935	0.1705886509787294
green	4	73838	14460	465586	0.16376361865500919
green	5	33893	6038	230210	0.1512108386967519
green	6	40454	7567	274438	0.15757689344245226
green	7	56129	9909	350283	0.15004997122868652
green	8	31314	3944	160158	0.11186113789778207
green	9	18418	3387	60219	0.15533134602155468
green	10	154671	28818	872576	0.1570557363111685
green	11	49646	9415	298419	0.15941145595232048
green	12	45968	8097	248518	0.1497641727550171
green	13	19025	3221	127696	0.14479007462015644
